model,method,alpha,n,mean_drift,median_drift,std_drift,redline_count
Qwen/Qwen2.5-0.5B,caa,0.0,90,0.0,0.0,0.0,0
Qwen/Qwen2.5-0.5B,caa,0.25,90,0.20188999970753987,0.21089386940002441,0.07453072612425594,0
Qwen/Qwen2.5-0.5B,caa,0.5,90,0.7572290023167928,0.7427711486816406,0.14698415939436354,0
Qwen/Qwen2.5-0.5B,caa,1.0,90,2.2229674657185874,2.1936182975769043,0.240472017522969,0
Qwen/Qwen2.5-0.5B,caa,2.0,90,5.566947436332702,5.47894287109375,0.4888867322027298,0
Qwen/Qwen2.5-0.5B,caa,4.0,90,11.764960074424744,11.799032211303711,0.529004736176681,0
Qwen/Qwen2.5-0.5B,caa,8.0,90,11.890203579266865,11.933539152145386,0.5838425223290519,0
Qwen/Qwen2.5-0.5B,lopi_default,0.0,90,0.0,0.0,0.0,0
Qwen/Qwen2.5-0.5B,lopi_default,0.25,90,2.2923006296157835,2.621552348136902,0.9491693249290051,0
Qwen/Qwen2.5-0.5B,lopi_default,0.5,90,2.2158854246139525,2.5086355209350586,0.8045209422792672,0
Qwen/Qwen2.5-0.5B,lopi_default,1.0,90,2.3037019968032837,2.585113048553467,0.8126605083784185,0
Qwen/Qwen2.5-0.5B,lopi_default,2.0,90,2.8791937907536824,3.079301595687866,0.8949067298318422,0
Qwen/Qwen2.5-0.5B,lopi_default,4.0,90,4.147610211372376,4.192460060119629,0.83489204432138,0
Qwen/Qwen2.5-0.5B,lopi_default,8.0,90,6.3065874973932905,6.32261323928833,1.0973598162996272,0
Qwen/Qwen2.5-0.5B,none,0.0,90,0.0,0.0,0.0,0
Qwen/Qwen2.5-0.5B,none,0.25,90,2.3606261173884073,2.563906192779541,0.7628612219350278,0
Qwen/Qwen2.5-0.5B,none,0.5,90,2.3659226417541506,2.519335985183716,0.6024283992132746,0
Qwen/Qwen2.5-0.5B,none,1.0,90,2.5940306822458905,2.7534995079040527,0.5883662709648613,0
Qwen/Qwen2.5-0.5B,none,2.0,90,3.5984634002049765,3.479315161705017,0.5068608801077078,0
Qwen/Qwen2.5-0.5B,none,4.0,90,5.084187165896098,5.0351186990737915,0.6409300271364846,0
Qwen/Qwen2.5-0.5B,none,8.0,90,7.424245524406433,7.517982006072998,0.5624590124949616,0
Qwen/Qwen2.5-1.5B,caa,0.0,90,0.0,0.0,0.0,0
Qwen/Qwen2.5-1.5B,caa,0.25,90,1.0582458257675171,1.01204252243042,0.28711087973769017,0
Qwen/Qwen2.5-1.5B,caa,0.5,90,5.605819511413574,5.619753837585449,0.6755929155861257,0
Qwen/Qwen2.5-1.5B,caa,1.0,90,8.549670203526814,8.61911952495575,0.5846406659849323,0
Qwen/Qwen2.5-1.5B,caa,2.0,90,10.041221539179483,10.046893119812012,0.6145391488796341,0
Qwen/Qwen2.5-1.5B,caa,4.0,90,8.585170030593872,8.624427676200867,0.4662874248873324,0
Qwen/Qwen2.5-1.5B,caa,8.0,90,9.5618292649587,9.482818126678467,0.4452803857966875,0
Qwen/Qwen2.5-1.5B,lopi_default,0.0,90,0.0,0.0,0.0,0
Qwen/Qwen2.5-1.5B,lopi_default,0.25,90,0.8505079905192058,0.4040764570236206,1.0698524168083845,0
Qwen/Qwen2.5-1.5B,lopi_default,0.5,90,0.8061288754145305,0.43389439582824707,0.979257852723619,0
Qwen/Qwen2.5-1.5B,lopi_default,1.0,90,0.8977742036183675,0.4768671989440918,1.0221379157367998,0
Qwen/Qwen2.5-1.5B,lopi_default,2.0,90,1.1290762980779012,0.7312178611755371,0.9626075481476121,0
Qwen/Qwen2.5-1.5B,lopi_default,4.0,90,1.6936121384302776,1.2358970642089844,0.8340561967982509,0
Qwen/Qwen2.5-1.5B,lopi_default,8.0,90,3.467865053812663,3.5197612047195435,0.6712104030903392,0
Qwen/Qwen2.5-1.5B,none,0.0,90,0.0,0.0,0.0,0
Qwen/Qwen2.5-1.5B,none,0.25,90,0.8658846219380697,0.3663409948348999,1.1900562963148018,0
Qwen/Qwen2.5-1.5B,none,0.5,90,1.1124982118606568,0.46534180641174316,1.1675225733108312,0
Qwen/Qwen2.5-1.5B,none,1.0,90,2.489792005221049,2.663930654525757,1.347863212051724,0
Qwen/Qwen2.5-1.5B,none,2.0,90,5.138051891326905,5.137805700302124,0.5295596514356289,0
Qwen/Qwen2.5-1.5B,none,4.0,90,5.8551677703857425,5.876485824584961,0.4166698077189937,0
Qwen/Qwen2.5-1.5B,none,8.0,90,6.867409340540568,6.8827064037323,0.6253448811921841,0
gpt2-medium,caa,0.0,90,0.0,0.0,0.0,0
gpt2-medium,caa,0.25,90,0.013601875305175782,0.016997218132019043,0.018523241927957873,0
gpt2-medium,caa,0.5,90,0.05973042647043864,0.06028902530670166,0.032452119190275554,0
gpt2-medium,caa,1.0,90,0.3332480986913045,0.32876014709472656,0.07021966717734887,0
gpt2-medium,caa,2.0,90,2.352131454149882,2.3713042736053467,0.2709756078745704,0
gpt2-medium,caa,4.0,90,5.594107333819071,5.484762668609619,0.46398872663933916,0
gpt2-medium,caa,8.0,90,6.0730648597081505,5.9728041887283325,0.47208273518891036,0
gpt2-medium,none,0.0,90,0.0,0.0,0.0,0
gpt2-medium,none,0.25,90,0.0,0.0,0.0,0
gpt2-medium,none,0.5,90,0.0,0.0,0.0,0
gpt2-medium,none,1.0,90,0.0,0.0,0.0,0
gpt2-medium,none,2.0,90,0.0,0.0,0.0,0
gpt2-medium,none,4.0,90,0.0,0.0,0.0,0
gpt2-medium,none,8.0,90,0.0,0.0,0.0,0
